player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
J Little,j little,9061a703,cricketdata::player_meta,928067,Right hand Bat,Left arm Fast medium,Bowler,Bowler,right,Left arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
J Madanagopal,j madanagopal,8275b04a,cricketdata::player_meta,31282,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
J Overton,j overton,59559bc2,cricketdata::player_meta,510530,Right hand Bat,Right arm Fast,Bowling Allrounder,Bowling Allrounder,right,Right arm Fast,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
J Srinath,j srinath,bad31fac,cricketdata::player_meta,34105,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
J Suchith,j suchith,4125d931,cricketdata::player_meta,527663,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
J Syed Mohammad,j syed mohammad,c64c2443,cricketdata::player_meta,35261,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
J Theron,j theron,dec8e038,cricketdata::player_meta,223642,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
J Yadav,j yadav,81049310,cricketdata::player_meta,447587,Right hand Bat,Right arm Offbreak,Bowler,Bowler,right,Right arm Offbreak,spin,bowler,false,true,true,false,false,cricsheet_id
JA Duffy,ja duffy,dadbdb68,cricketdata::player_meta,547766,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
JA Morkel,ja morkel,c3d35165,cricketdata::player_meta,46248,Left hand Bat,Right arm Medium fast,Bowling Allrounder,Bowling Allrounder,left,Right arm Medium fast,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
JA Richardson,ja richardson,1ee08e9a,cricketdata::player_meta,774223,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
Jalaj S Saxena,jalaj s saxena,249abedf,cricketdata::player_meta,237199,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder,Allrounder,right,"Right arm Offbreak, Legbreak Googly",spin,all_rounder,false,true,true,false,false,cricsheet_id
Jasbir Singh,jasbir singh,6043dfe7,cricketdata::player_meta,29681,Right hand Bat,Slow Left arm Orthodox,,,right,Slow Left arm Orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
Jaskaran Singh,jaskaran singh,d7b3a420,cricketdata::player_meta,376102,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
JC Archer,jc archer,5574750c,cricketdata::player_meta,669855,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
JC Buttler,jc buttler,99b75528,cricketdata::player_meta,308967,Right hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,right,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
JD Cloete,jd cloete,b0419f8c,cricketdata::player_meta,44449,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
JD Ryder,jd ryder,91ffa6c6,cricketdata::player_meta,38373,Left hand Bat,Right arm Medium,Allrounder,Allrounder,left,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
JD Unadkat,jd unadkat,1e66c162,cricketdata::player_meta,390484,Right hand Bat,Left arm Medium,Bowler,Bowler,right,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
JDP Oram,jdp oram,3eac9d95,cricketdata::player_meta,38062,Left hand Bat,Right arm Fast medium,Allrounder,Allrounder,left,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
JDS Neesham,jds neesham,9219eff0,cricketdata::player_meta,355269,Left hand Bat,Right arm Medium fast,Batting Allrounder,Batting Allrounder,left,Right arm Medium fast,pace,batting_all_rounder,false,true,false,true,false,cricsheet_id
